Type,Keyword,Value
Corner,鮮魚コーナー,Fish
Corner,さかなコーナー,Fish
Corner,さかな,Fish
Corner,鮮魚,Fish
Corner,野菜コーナー,Vegetable
Corner,野菜,Vegetable
Corner,青果コーナー,Vegetable
Corner,青果,Vegetable
Corner,お菓子コーナー,Snack
Corner,菓子コーナー,Snack
Corner,おかし,Snack
Corner,冷凍食品コーナー,FrozenFood
Corner,冷凍コーナー,FrozenFood
Corner,冷凍食品,FrozenFood
Corner,冷凍,FrozenFood
,,
Corner,飲料コーナー,Drink
Corner,飲料,Drink
Corner,飲み物,Drink
Corner,飲み物コーナー,Drink
Corner,ドリンク,Drink
Corner,ドリンクコーナー,Drink
,,
Corner,惣菜コーナー,PreparedFood
Corner,おかずコーナー,PreparedFood
Corner,惣菜,PreparedFood
Corner,おかず,PreparedFood
Corner,精肉コーナー,Meat
Corner,肉,Meat
Corner,精肉,Meat
Corner,肉コーナー,Meat
Corner,パン,Bread
Corner,パンコーナー,Bread
Capture,捕まえろ,Capture
Capture,捕まえて,Capture
Capture,確保,Capture
Capture,逮捕,Capture
Capture,いけ,Capture
Capture,やれ,Capture
,,
Color,赤,Red
Color,青,Blue
Color,緑,Green
Color,オレンジ,Orange
Color,黄,Yellow
Color,紫,Purple
Color,黒,Black
Color,白,White
,,
Feature,帽子,Hat
Feature,眼鏡,Glasses
Feature,メガネ,Glasses
Feature,バッグ,Bag
Feature,鞄,Bag
Feature,かばん,Bag
,,
Confirmation,はい,Yes
Confirmation,yes,Yes
Confirmation,イえス,Yes
Confirmation,いいえ,No
Confirmation,いいや,No
Confirmation,いや,No
Confirmation,ノー,No
Confirmation,no,No
,,
Stop,止まって,Stop
Stop,とまれ,Stop
Stop,停止,Stop
